Name,Gold
Buttons,7462
Imyourmain,7452
Venom,7452
Amiga,7440
Yeetmaster,7439
Liquidice,7429
Fireyfire,7425
Someman,7425
Trusygamer,7423
Elfo,7420
Rekka,7419
Shampain,7418
Adecristo,7396
Orzo,7392
Cornnuts,7389
Akisah,7384
Blkrooster,7379
Corvus,7376
Bumblebee,7361
Elredir,7356
Nutmeghigh,7353
Triverjr,7343
Famitiki,7341
Flintfox,7341
Shmfulfear,7337
Melifera,7323
Quitnow,7306
Tuck,7302
Sanusouk,7301
Starker,7301
Jujubean,7299
Jermbenz,7299
Eternalism,7292
Rich,7272
Splendid,7271
Dien,7266
Jud,7261
Fionara,7260
Melanholic,7258
Renacuajo,7249
Arkeyan,7241
Seankekoa,7239
Ruslan,7239
Jaxattack,7232
Strum,7228
Lollylover,7227
Bellcranel,7224
Vivee,7188
Okapi,7182
Mistthick,7180
Nanahira,7174
Osalvador,7171
Nasferu,7160
Trafalgar,7160
Ghotarius,7142
Cpu,7140
Grillby,7138
Montad,7129
Noxii,7129
Sausage,7122
Cocalaru,7117
Baszlak,7112
Bobberella,7106
Arneman,7099
Zacman,7080
Confucius,7078
Fishman,7077
Ghorvelboz,7074
Milox,7065
Catycat,7065
Akatsuma,7064
Nysvoroth,7062
Yobagoya,7053
Karrick,7028
Advil,7010
Blueorchid,7009
Killsalot,7007
Quacktical,7006
Dolbayob,7001
Guyliveson,7000
Pewe,6999
Dingac,6998
Tahtahs,6996
Hypnos,6994
Vogo,6991
Jayupside,6990
Kiesza,6989
Phiney,6983
Jamesr,6980
Wispy,6974
Bigorc,6960
Bathfox,6948
Lorddeath,6945
Morkvarg,6939
Miroku,6931
Zyon,6925
Ralmo,6924
Lolzng,6924
Trevorbr,6922
Aniki,6917
Whooper,6909
Lattice,6902
Alteon,6901
Carpetburn,6900
Yensy,6900
Wubstep,6899
Nicci,6893
Shona,6880
Dagosh,6877
Nathen,6842
Cpthree,6838
Ikirito,6836
Caui,6828
Korosone,6824
Cimmarian,6823
Lancelodia,6823
Gorana,6819
Pleyboy,6812
Doniar,6810
Twilight,6806
Chadwick,6796
Talrena,6785
Codein,6779
Diiscord,6779
Dominate,6765
Vaposcorax,6756
Asafeed,6752
Springroll,6748
Frandle,6746
Qcgamer,6725
Codro,6722
Leonek,6719
Leite,6703
Kampe,6699
Millyz,6691
Boingo,6691
Shad,6690
Undauntyd,6690
Tough,6687
Eeal,6687
Gizmachi,6684
Hichar,6674
Phany,6667
